,respondent_id,as_of_year,agency_abbr,loan_type_name,loan_amount_000s,owner_occupancy_name,loan_purpose_name,property_type_name,preapproval_name,msamd_name,state_abbr,county_name,applicant_ethnicity_name,co_applicant_ethnicity_name,applicant_race_name_1,co_applicant_race_name_1,applicant_sex_name,co_applicant_sex_name,applicant_income_000s,purchaser_type_name,denial_reason_name_1,hoepa_status_name,lien_status_name,population,minority_population,hud_median_family_income,tract_to_msamd_income,number_of_owner_occupied_units,number_of_1_to_4_family_units,action_taken_name
20943,75-2694910,2011,HUD,FHA-insured,99,Owner-occupied as a principal dwelling,Home purchase,Manufactured housing,Preapproval was not requested,"Dallas, Plano, Irving - TX",TX,Denton County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,38.0,"Life insurance company, credit union, mortgage bank, or finance company",,Not a HOEPA loan,Secured by a first lien,8588.0,10.630000114440918,69600.0,98.20999908447266,2399.0,2985.0,Loan originated
144838,0000090140,2011,FDIC,Conventional,190,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,Pittsfield - MA,MA,Berkshire County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,54.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,1787.0,6.380000114440918,68900.0,61.54999923706055,503.0,822.0,Application denied by financial institution
153779,0002888798,2011,FRS,FHA-insured,193,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Baltimore, Towson - MD",MD,Anne Arundel County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,77.0,Loan was not originated or was not sold in calendar year covered by register,Collateral,Not a HOEPA loan,Secured by a first lien,6827.0,4.559999942779541,84500.0,127.43000030517578,2292.0,2763.0,Application denied by financial institution
142854,0000412135,2011,FRS,FHA-insured,126,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,Rochester - NY,NY,Monroe County,Not Hispanic or Latino,Hispanic or Latino,White,White,Male,Female,77.0,Loan was not originated or was not sold in calendar year covered by register,Unverifiable information,Not a HOEPA loan,Secured by a first lien,2132.0,3.4200000762939453,67800.0,113.9499969482422,822.0,865.0,Application denied by financial institution
19581,38-3566754,2011,FDIC,Conventional,190,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Kalamazoo, Portage - MI",MI,Van Buren County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,78.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,3665.0,21.26000022888184,62400.0,75.54000091552734,1109.0,1573.0,Loan originated
104982,04-3660901,2011,NCUA,Conventional,343,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,Anchorage - AK,AK,Anchorage Municipality,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,83.0,Loan was not originated or was not sold in calendar year covered by register,Other,Not a HOEPA loan,Secured by a first lien,2461.0,15.479999542236328,84000.0,161.24000549316406,700.0,764.0,Application denied by financial institution
24409,0000852218,2011,CFPB,Conventional,90,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Chicago, Joliet, Naperville - IL",IL,Kane County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,80.0,Fannie Mae (FNMA),,Not a HOEPA loan,Secured by a first lien,3258.0,13.350000381469727,76200.0,99.45999908447266,916.0,1067.0,Loan originated
25781,63-1113916,2011,CFPB,Conventional,60,Not owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Preapproval was not requested,"Atlanta, Sandy Springs, Marietta - GA",GA,Clayton County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,91.0,Private securitization,,Not a HOEPA loan,Secured by a first lien,5406.0,29.45000076293945,68300.0,141.72000122070312,1745.0,1884.0,Loan originated
128357,7197000003,2011,HUD,Conventional,273,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Portland, Vancouver, Hillsboro - OR, WA",OR,Multnomah County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,69.0,Loan was not originated or was not sold in calendar year covered by register,"Insufficient cash (downpayment, closing costs)",Not a HOEPA loan,Secured by a first lien,3229.0,11.210000038146973,72000.0,116.43000030517578,1028.0,1283.0,Application denied by financial institution
11020,0000451965,2011,CFPB,Conventional,373,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Winston, Salem - NC",NC,Forsyth County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,87.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,2611.0,1.7599999904632568,61200.0,232.8800048828125,936.0,1075.0,Loan originated
162398,0000451965,2011,CFPB,Conventional,3,Owner-occupied as a principal dwelling,Home improvement,One-to-four family dwelling (other than manufactured housing),Not applicable,Spartanburg - SC,SC,Spartanburg County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,22.0,Loan was not originated or was not sold in calendar year covered by register,Credit history,Not a HOEPA loan,Not secured by a lien,10243.0,7.679999828338622,56100.0,115.69000244140624,3245.0,4007.0,Application denied by financial institution
129751,0000723112,2011,CFPB,Conventional,56,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Kalamazoo, Portage - MI",MI,Kalamazoo County,Not Hispanic or Latino,Not Hispanic or Latino,Black or African American,Black or African American,Male,Female,28.0,Loan was not originated or was not sold in calendar year covered by register,Credit history,Not a HOEPA loan,Secured by a first lien,4496.0,89.05999755859375,62400.0,49.65999984741211,728.0,1637.0,Application denied by financial institution
148927,0000451965,2011,CFPB,FHA-insured,172,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Preapproval was not requested,"Portland, Vancouver, Hillsboro - OR, WA",OR,Yamhill County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,32.0,Loan was not originated or was not sold in calendar year covered by register,Debt-to-income ratio,Not a HOEPA loan,Secured by a first lien,6035.0,13.470000267028807,72000.0,87.81999969482422,1753.0,2247.0,Application denied by financial institution
3422,0000451965,2011,CFPB,Conventional,173,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Kingsport, Bristol, Bristol - TN, VA",VA,Washington County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Female,Male,95.0,Freddie Mac (FHLMC),,Not a HOEPA loan,Secured by a first lien,7054.0,4.559999942779541,49500.0,111.23999786376952,2037.0,2738.0,Loan originated
79436,26-3295749,2011,HUD,Conventional,153,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Preapproval was not requested,Lebanon - PA,PA,Lebanon County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,50.0,"Commercial bank, savings bank or savings association",,Not a HOEPA loan,Secured by a first lien,4205.0,7.28000020980835,64800.0,126.66000366210938,1091.0,1262.0,Loan originated
